Ukazatel,Čtvrtletí,Šetření,"ČR, regiony, kraje-Stát","ČR, regiony, kraje-Region","ČR, regiony, kraje-Kraj",Hodnota,MJ_TEXT,MJ_SYMBOL
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),4. čtvrtletí 2025,Pracovištní metoda,Česko,Jihovýchod,,50147.8944306112,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),4. čtvrtletí 2025,Pracovištní metoda,Česko,Střední Morava,,46650.2850266532,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),4. čtvrtletí 2025,Pracovištní metoda,Česko,Moravskoslezsko,,46206.4787776124,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),4. čtvrtletí 2025,Pracovištní metoda,Česko,Praha,Hlavní město Praha,65315.2693892644,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),4. čtvrtletí 2025,Pracovištní metoda,Česko,Střední Čechy,Středočeský kraj,51485.3901874845,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),4. čtvrtletí 2025,Pracovištní metoda,Česko,Jihozápad,Jihočeský kraj,47414.3452441378,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),4. čtvrtletí 2025,Pracovištní metoda,Česko,Jihozápad,Plzeňský kraj,48730.0706166583,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),4. čtvrtletí 2025,Pracovištní metoda,Česko,Severozápad,Karlovarský kraj,44630.1920523882,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),4. čtvrtletí 2025,Pracovištní metoda,Česko,Severozápad,Ústecký kraj,47861.2914287121,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),4. čtvrtletí 2025,Pracovištní metoda,Česko,Severovýchod,Liberecký kraj,46952.385332195,koruna česká,Kč
