"Ukazatel","IndicatorType","Území","Uz0","Měsíce, roky","CASRMX","Hodnota"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","leden 2017","2017-01","0.8"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","únor 2017","2017-02","1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","březen 2017","2017-03","1.2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","duben 2017","2017-04","1.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","květen 2017","2017-05","1.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červen 2017","2017-06","1.7"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červenec 2017","2017-07","1.8"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","srpen 2017","2017-08","2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","září 2017","2017-09","2.2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","říjen 2017","2017-10","2.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","listopad 2017","2017-11","2.4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","prosinec 2017","2017-12","2.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","2017","2017","2.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","leden 2018","2018-01","2.4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","únor 2018","2018-02","2.4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","březen 2018","2018-03","2.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","duben 2018","2018-04","2.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","květen 2018","2018-05","2.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červen 2018","2018-06","2.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červenec 2018","2018-07","2.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","srpen 2018","2018-08","2.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","září 2018","2018-09","2.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","říjen 2018","2018-10","2.2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","listopad 2018","2018-11","2.2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","prosinec 2018","2018-12","2.1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","2018","2018","2.1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","leden 2019","2019-01","2.2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","únor 2019","2019-02","2.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","březen 2019","2019-03","2.4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","duben 2019","2019-04","2.4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","květen 2019","2019-05","2.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červen 2019","2019-06","2.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červenec 2019","2019-07","2.6"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","srpen 2019","2019-08","2.6"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","září 2019","2019-09","2.6"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","říjen 2019","2019-10","2.7"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","listopad 2019","2019-11","2.7"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","prosinec 2019","2019-12","2.8"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","2019","2019","2.8"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","leden 2020","2020-01","2.9"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","únor 2020","2020-02","3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","březen 2020","2020-03","3.1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","duben 2020","2020-04","3.1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","květen 2020","2020-05","3.1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červen 2020","2020-06","3.1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červenec 2020","2020-07","3.2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","srpen 2020","2020-08","3.2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","září 2020","2020-09","3.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","říjen 2020","2020-10","3.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","listopad 2020","2020-11","3.2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","prosinec 2020","2020-12","3.2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","2020","2020","3.2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","leden 2021","2021-01","3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","únor 2021","2021-02","2.9"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","březen 2021","2021-03","2.8"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","duben 2021","2021-04","2.8"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","květen 2021","2021-05","2.8"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červen 2021","2021-06","2.8"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červenec 2021","2021-07","2.8"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","srpen 2021","2021-08","2.8"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","září 2021","2021-09","3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","říjen 2021","2021-10","3.2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","listopad 2021","2021-11","3.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","prosinec 2021","2021-12","3.8"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","2021","2021","3.8"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","leden 2022","2022-01","4.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","únor 2022","2022-02","5.2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","březen 2022","2022-03","6.1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","duben 2022","2022-04","7"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","květen 2022","2022-05","8.1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červen 2022","2022-06","9.4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červenec 2022","2022-07","10.6"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","srpen 2022","2022-08","11.7"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","září 2022","2022-09","12.7"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","říjen 2022","2022-10","13.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","listopad 2022","2022-11","14.4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","prosinec 2022","2022-12","15.1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","2022","2022","15.1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","leden 2023","2023-01","15.7"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","únor 2023","2023-02","16.2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","březen 2023","2023-03","16.4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","duben 2023","2023-04","16.2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","květen 2023","2023-05","15.8"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červen 2023","2023-06","15.1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červenec 2023","2023-07","14.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","srpen 2023","2023-08","13.6"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","září 2023","2023-09","12.7"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","říjen 2023","2023-10","12.1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","listopad 2023","2023-11","11.4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","prosinec 2023","2023-12","10.7"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","2023","2023","10.7"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","leden 2024","2024-01","9.4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","únor 2024","2024-02","8.2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","březen 2024","2024-03","7.1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","duben 2024","2024-04","6.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","květen 2024","2024-05","5.6"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červen 2024","2024-06","4.9"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červenec 2024","2024-07","4.4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","srpen 2024","2024-08","3.9"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","září 2024","2024-09","3.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","říjen 2024","2024-10","3.1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","listopad 2024","2024-11","2.7"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","prosinec 2024","2024-12","2.4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","2024","2024","2.4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","leden 2025","2025-01","2.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","únor 2025","2025-02","2.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","březen 2025","2025-03","2.6"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","duben 2025","2025-04","2.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","květen 2025","2025-05","2.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červen 2025","2025-06","2.6"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červenec 2025","2025-07","2.6"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","srpen 2025","2025-08","2.6"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","září 2025","2025-09","2.6"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","říjen 2025","2025-10","2.6"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","listopad 2025","2025-11","2.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","prosinec 2025","2025-12","2.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","2025","2025","2.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","leden 2026","2026-01","2.4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","únor 2026","2026-02","2.2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","březen 2026","2026-03","2.2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","duben 2026","2026-04","2.2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","květen 2026","2026-05","2.2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červen 2026","2026-06","2.1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červenec 2026","2026-07","2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","leden 1997","1997-01","7.4"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","únor 1997","1997-02","7.3"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","březen 1997","1997-03","6.8"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","duben 1997","1997-04","6.7"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","květen 1997","1997-05","6.3"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červen 1997","1997-06","6.8"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červenec 1997","1997-07","9.4"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","srpen 1997","1997-08","9.9"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","září 1997","1997-09","10.3"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","říjen 1997","1997-10","10.2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","listopad 1997","1997-11","10.1"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","prosinec 1997","1997-12","10"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","leden 1998","1998-01","13.1"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","únor 1998","1998-02","13.4"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","březen 1998","1998-03","13.4"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","duben 1998","1998-04","13.1"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","květen 1998","1998-05","13"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červen 1998","1998-06","12"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červenec 1998","1998-07","10.4"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","srpen 1998","1998-08","9.4"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","září 1998","1998-09","8.8"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","říjen 1998","1998-10","8.2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","listopad 1998","1998-11","7.5"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","prosinec 1998","1998-12","6.8"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","leden 1999","1999-01","3.5"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","únor 1999","1999-02","2.8"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","březen 1999","1999-03","2.5"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","duben 1999","1999-04","2.5"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","květen 1999","1999-05","2.4"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červen 1999","1999-06","2.2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červenec 1999","1999-07","1.1"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","srpen 1999","1999-08","1.4"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","září 1999","1999-09","1.2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","říjen 1999","1999-10","1.4"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","listopad 1999","1999-11","1.9"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","prosinec 1999","1999-12","2.5"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","leden 2000","2000-01","3.4"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","únor 2000","2000-02","3.7"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","březen 2000","2000-03","3.8"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","duben 2000","2000-04","3.4"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","květen 2000","2000-05","3.7"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červen 2000","2000-06","4.1"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červenec 2000","2000-07","3.9"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","srpen 2000","2000-08","4.1"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","září 2000","2000-09","4.1"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","říjen 2000","2000-10","4.4"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","listopad 2000","2000-11","4.3"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","prosinec 2000","2000-12","4"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","leden 2001","2001-01","4.2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","únor 2001","2001-02","4"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","březen 2001","2001-03","4.1"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","duben 2001","2001-04","4.6"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","květen 2001","2001-05","5"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červen 2001","2001-06","5.5"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červenec 2001","2001-07","5.9"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","srpen 2001","2001-08","5.5"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","září 2001","2001-09","4.7"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","říjen 2001","2001-10","4.4"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","listopad 2001","2001-11","4.2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","prosinec 2001","2001-12","4.1"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","leden 2002","2002-01","3.7"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","únor 2002","2002-02","3.9"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","březen 2002","2002-03","3.7"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","duben 2002","2002-04","3.2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","květen 2002","2002-05","2.5"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červen 2002","2002-06","1.2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červenec 2002","2002-07","0.6"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","srpen 2002","2002-08","0.6"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","září 2002","2002-09","0.8"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","říjen 2002","2002-10","0.6"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","listopad 2002","2002-11","0.5"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","prosinec 2002","2002-12","0.6"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","leden 2003","2003-01","-0.4"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","únor 2003","2003-02","-0.4"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","březen 2003","2003-03","-0.4"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","duben 2003","2003-04","-0.1"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","květen 2003","2003-05","0"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červen 2003","2003-06","0.3"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červenec 2003","2003-07","-0.1"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","srpen 2003","2003-08","-0.1"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","září 2003","2003-09","0"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","říjen 2003","2003-10","0.4"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","listopad 2003","2003-11","1"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","prosinec 2003","2003-12","1"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","leden 2004","2004-01","2.3"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","únor 2004","2004-02","2.3"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","březen 2004","2004-03","2.5"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","duben 2004","2004-04","2.3"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","květen 2004","2004-05","2.7"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červen 2004","2004-06","2.9"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červenec 2004","2004-07","3.2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","srpen 2004","2004-08","3.4"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","září 2004","2004-09","3"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","říjen 2004","2004-10","3.5"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","listopad 2004","2004-11","2.9"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","prosinec 2004","2004-12","2.8"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","leden 2005","2005-01","1.7"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","únor 2005","2005-02","1.7"
