Date,Open,High,Low,Close,Volume
2005-12-31,120.27219470114,128.0934276752,113.54254372542,124.52213221306,13436170930.863
2006-12-31,125.32870010378,143.24194693659,122.32185959329,141.59200169332,17596457857.365
2007-12-31,142.26468164718,157.5198705814,136.73937404933,146.20744160792,39330481032.926
2008-12-31,146.52758023721,147.00065958818,74.34007804477,90.240728668819,76007100012.026
2009-12-31,90.44071810404,113.03913545167,67.100408645458,111.42522200554,62259408001.199
2010-12-31,112.37902774358,126.14796985105,101.12751583721,125.72582753704,52373438438.096
2011-12-31,124.1057265545,134.95380119508,106.75294572635,125.48974440955,54015036019.983
2012-12-31,127.74807257167,148.09259643039,126.41559675012,142.40247004137,35388786756.217
2013-12-31,145.11215417799,184.70743737804,144.76816586184,184.70743737804,30622155818.609
2014-12-31,183.96978106201,212.94667092777,173.71684517102,205.56111742127,27655068830.222
2015-12-31,206.35149831789,213.79664846162,182.41039369136,203.89095700558,31344949159.115
2016-12-31,196.25145044297,226.98627661917,177.22398427867,223.51060043448,26692348228.016
2017-12-31,220.74952533802,268.60457678671,219.60929018648,266.8633309888,17817441069.899
2018-12-31,267.84292217317,293.95332309836,233.76049268699,249.9140277659,24395461055.703
2019-12-31,245.97734082351,323.8008795155,243.65788147689,321.85661360458,17738148076.824
2020-12-31,323.53363762346,378.46213226312,218.26775273616,373.87712629977,25402020653.298
2021-12-31,375.30668803864,478.99946812782,364.81863293368,474.95494799447,18577768519.381
2022-12-31,468.68240394527,472.30540766197,346.51818383108,382.43057649341,24037744593.425
2023-12-31,378.61429202368,477.54900149673,372.17366671632,475.31002071164,20669977642.434
2024-12-31,472.15980319143,609.06965338312,466.42927206227,586.0802665788,14468557906.917
2025-12-31,589.39019084964,691.66,481.8,681.92,18111935881.769
2026-12-31,685.71,779.37,629.28,765.96,11001073693
