"Ukazatel","Čtvrtletí","Šetření","ČR, regiony, kraje-Stát","ČR, regiony, kraje-Region","ČR, regiony, kraje-Kraj","Hodnota","MJ_TEXT","MJ_SYMBOL"
"Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Čechy","","3.0716455818","",""
"Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Čechy","","100.6850194645","",""
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Čechy","","46918.1237688745","koruna česká","Kč"
"Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Čechy","","3302.1026970595","",""
"Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Čechy","","107.5708480873","procento","%"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","","452.0900890321","tisíc osob","tis. osob (tis. os.)"
"Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","","0.7422690553","",""
"Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","","100.1644561073","procento","%"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","","46085.629956527","koruna česká","Kč"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","","3676.4987036187","",""
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","","108.669120529","procento","%"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","","475.5077485414","tisíc osob","tis. osob (tis. os.)"
"Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","","0.5998899371","",""
"Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","","100.1263171216","",""
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","","43816.0190113745","koruna česká","Kč"
"Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","","3510.7922367268","",""
"Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","","108.710513543","procento","%"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Severozápad","","332.8836088297","tisíc osob","tis. osob (tis. os.)"
"Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Severozápad","","0.0987498288","",""
"Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Severozápad","","100.0296737745","procento","%"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Severozápad","","44671.2453497883","koruna česká","Kč"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Severozápad","","2756.8161174044","",""
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Severozápad","","106.5772483794","procento","%"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Severozápad","","348.9215387928","tisíc osob","tis. osob (tis. os.)"
"Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Severozápad","","0.0360615164","",""
"Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Severozápad","","100.0103362045","",""
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Severozápad","","42617.96338055","koruna česká","Kč"
"Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Severozápad","","2637.8314154881","",""
"Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Severozápad","","106.5978556994","procento","%"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Severovýchod","","533.6384394811","tisíc osob","tis. osob (tis. os.)"
"Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Severovýchod","","3.2102804024","",""
"Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Severovýchod","","100.6052243546","procento","%"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Severovýchod","","44479.783935651","koruna česká","Kč"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Severovýchod","","3267.5193745555","",""
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Severovýchod","","107.9285120809","procento","%"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Severovýchod","","561.4568097392","tisíc osob","tis. osob (tis. os.)"
"Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Severovýchod","","2.9765872099","",""
"Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Severovýchod","","100.5329798782","",""
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Severovýchod","","42275.9544031577","koruna česká","Kč"
"Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Severovýchod","","3133.7525117408","",""
"Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Severovýchod","","108.0060710954","procento","%"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihovýchod","","652.5630576","tisíc osob","tis. osob (tis. os.)"
"Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihovýchod","","4.1630290028","",""
"Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihovýchod","","100.6420463941","procento","%"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihovýchod","","48277.6049106834","koruna česká","Kč"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihovýchod","","3525.7755056874","",""
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihovýchod","","107.8785058679","procento","%"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihovýchod","","689.3618758677","tisíc osob","tis. osob (tis. os.)"
"Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihovýchod","","3.6923737717","",""
"Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihovýchod","","100.5385063446","",""
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihovýchod","","45700.4986451635","koruna česká","Kč"
"Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihovýchod","","3381.1489041063","",""
"Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihovýchod","","107.9896050502","procento","%"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Morava","","433.0866540092","tisíc osob","tis. osob (tis. os.)"
"Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Morava","","1.2809367998","",""
"Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Morava","","100.2966465586","procento","%"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Morava","","43465.6937417117","koruna česká","Kč"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Morava","","3134.9860469383","",""
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Morava","","107.7731987018","procento","%"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Morava","","456.153648936","tisíc osob","tis. osob (tis. os.)"
"Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Morava","","0.9486446838","",""
"Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Morava","","100.2083994409","",""
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Morava","","41267.6998434528","koruna česká","Kč"
"Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Morava","","3010.1455568591","",""
